X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X
X, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X
X, , , , , , , , ,X,X,X,X,X,X,X,X,X,X,X,X,X, , , , , , , ,X
X, , , , , ,X,X,X,X, , , , , , , , , , , ,X, , ,sword, , , , ,X
X, , , , , ,X, , , , ,whip, , , , , , , , , ,X, , , , , , , ,X
X, , , , , ,X, , , , , , , , , , ,X, , , ,X, , , , , , , ,X
X,X, , , , ,X, , , , , , , , , , ,X, , , ,X, , , , , , , ,X
X,X, , , , ,X, , , , , , , , , , ,X, , , ,X, , , , , , , ,X
X,X, , , , ,X, , ,elixir, , , , , , , ,X, , , ,X, , , , , , , ,X
X,X, , , , ,X, , , , , , , , , , ,X, , , ,X, , , , , , , ,X
X,X, , , , ,X, , , , , , , , , , ,X, , , ,X, , , , , , , ,X
X,X, , , , ,X,X,X,X,X,X,X,X,X,X,X,X, , , ,X, , , , , , , ,X
X,X, , ,elixir, , , , , , , , , , , , , , , , ,X, , , , , , , ,X
X,EN, , , , , , , , , , , , , , , , , , , ,X, , , , , , , ,X
X,X, , , , , , , , , , , , , , , , ,sword, , ,X, , , , , , , ,X
X,X, , , , , , , , , , , ,key,X,X,X,X,X,X,X,X, , , , , , , ,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X, , , , , , , , , , , , , ,X
X, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
